Treatment,Time_point,Family,variable,n,mean,sd
Imolope_high,T72,Chromatiaceae,Abundance,3,0,0
Imolope_low,T72,Chromatiaceae,Abundance,3,0,0
Lop_high,T72,Chromatiaceae,Abundance,3,0,0
Lop_low,T72,Chromatiaceae,Abundance,3,0,0
Saline,T72,Chromatiaceae,Abundance,3,0,0
DMSO,T0,Class_Bacilli,Abundance,3,0.111,0.079
Imolope_high,T0,Class_Bacilli,Abundance,3,0.081,0.02
Imolope_low,T0,Class_Bacilli,Abundance,3,0.107,0.034
Lop_high,T0,Class_Bacilli,Abundance,3,0.089,0.032
Lop_low,T0,Class_Bacilli,Abundance,3,0.102,0.037
Saline,T0,Class_Bacilli,Abundance,3,0.074,0.029
DMSO,T24,Class_Bacilli,Abundance,3,0,0
Imolope_high,T24,Class_Bacilli,Abundance,3,0,0
Imolope_low,T24,Class_Bacilli,Abundance,3,0,0
Lop_high,T24,Class_Bacilli,Abundance,3,0,0
Lop_low,T24,Class_Bacilli,Abundance,3,0,0
Saline,T24,Class_Bacilli,Abundance,3,0,0
DMSO,T48,Class_Bacilli,Abundance,3,0,0
Imolope_high,T48,Class_Bacilli,Abundance,3,0,0
Imolope_low,T48,Class_Bacilli,Abundance,3,0,0
Lop_high,T48,Class_Bacilli,Abundance,3,0,0
Lop_low,T48,Class_Bacilli,Abundance,3,0,0.001
Saline,T48,Class_Bacilli,Abundance,3,0,0
DMSO,T72,Class_Bacilli,Abundance,3,0.005,0.002
Imolope_high,T72,Class_Bacilli,Abundance,3,0.004,0.005
Imolope_low,T72,Class_Bacilli,Abundance,3,0.009,0.002
Lop_high,T72,Class_Bacilli,Abundance,3,0.005,0.002
Lop_low,T72,Class_Bacilli,Abundance,3,0.012,0.005
Saline,T72,Class_Bacilli,Abundance,3,0.008,0.008
DMSO,T0,Class_Betaproteobacteria,Abundance,3,0.017,0.017
Imolope_high,T0,Class_Betaproteobacteria,Abundance,3,0.004,0.004
Imolope_low,T0,Class_Betaproteobacteria,Abundance,3,0.012,0.001
Lop_high,T0,Class_Betaproteobacteria,Abundance,3,0.005,0.009
Lop_low,T0,Class_Betaproteobacteria,Abundance,3,0.007,0.005
Saline,T0,Class_Betaproteobacteria,Abundance,3,0.007,0.001
DMSO,T24,Class_Betaproteobacteria,Abundance,3,0,0
